suite,method,bounded,lr,count,dice,condition,min_singular_value,max_singular_value,nonpositive_determinants,extreme_scale_runs,dice_change_from_rigid,dice_worse_than_rigid,seconds,loss_value,tre_mean_mm,tre_median_mm,tre_worse_than_rigid,tre_max_mm
abdomens,matrix,True,0.003,8,0.3663008114587513,1.160201370716095,0.7499999403953552,1.0042846202850342,0,0,-0.011175189349991333,5,0.47705510471132584,0.1634712554514408,,,,
abdomens,polar,True,0.003,8,0.3841839968501457,1.1569368243217468,0.7500016093254089,1.0088552236557007,0,0,0.006707996041403045,5,1.0045187334762886,0.16285424772650003,,,,
abdomens,matrix,True,0.01,8,0.3899846159289433,1.1927166134119034,0.75,1.0087984800338745,0,0,0.012508615120200631,4,0.4819402192661073,0.15931419748812914,,,,
abdomens,polar,True,0.01,8,0.3890714359018612,1.1919595152139664,0.7500012516975403,1.0088098049163818,0,0,0.011595435093118563,4,1.0091429987514857,0.15915914252400398,,,,
abdomens,matrix,True,0.03,8,0.39502645110905865,1.1850742250680923,0.75,1.006894826889038,0,0,0.01755045030031603,4,0.47139669189346023,0.15976892411708832,,,,
abdomens,polar,True,0.03,8,0.3939045881033954,1.1895278990268707,0.7500012516975403,1.0018116235733032,0,0,0.01642858729465274,4,0.9940133898344357,0.15974729228764772,,,,
abdomens,matrix,True,0.1,8,0.3823889769239214,1.1830978989601135,0.75,1.0037732124328613,0,0,0.004912976115178727,5,0.4783915667212568,0.1612930204719305,,,,
abdomens,polar,True,0.1,8,0.3667943045753232,1.1992203295230865,0.7500011920928955,0.9953954815864563,0,0,-0.010681696233419483,4,1.0073929414793383,0.1616267692297697,,,,
abdomens_masked,identity,False,0.0,8,0.373178873087302,1.0,1.0,1.0,0,0,-0.24828991568513434,7,,,,,,
abdomens_masked,rigid,False,0.0,8,0.6214687887724363,1.0,1.0,1.0,0,0,0.0,0,2.7612729430838954,,,,,
abdomens_masked,matrix,False,0.001,8,0.772097735015439,1.2033528983592987,0.7494842410087585,1.3212511539459229,0,0,0.15062894624300271,0,2.361611414642539,-2.0153460949659348,,,,
abdomens_masked,polar,False,0.001,8,0.7725222768130763,1.2079728245735168,0.7491553425788879,1.346997857093811,0,0,0.15105348804063995,0,2.9299970959837083,-2.0171363949775696,,,,
abdomens_masked,matrix,False,0.003,8,0.7735554794987513,1.2107456177473068,0.749566376209259,1.348798394203186,0,0,0.1520866907263148,0,2.363938872498693,-2.0178560316562653,,,,
abdomens_masked,polar,False,0.003,8,0.7732904626119343,1.2105283588171005,0.7495847344398499,1.3488729000091553,0,0,0.15182167383949796,0,2.9105160594335757,-2.0176126658916473,,,,
abdomens_masked,matrix,False,0.01,8,0.773019269206709,1.2123620957136154,0.7495435476303101,1.3489428758621216,0,0,0.1515504804342727,0,2.3585119276540354,-2.0188912451267242,,,,
abdomens_masked,polar,False,0.01,8,0.7739689486480309,1.212352067232132,0.7496126890182495,1.348909616470337,0,0,0.15250015987559454,0,2.8520329008460976,-2.0192371755838394,,,,
abdomens_masked,matrix,False,0.03,8,0.7722724988022953,1.2234815508127213,0.7495660185813904,1.3490376472473145,0,0,0.15080371002985907,0,2.359684091003146,-2.0182546824216843,,,,
abdomens_masked,polar,False,0.03,8,0.7245234799065402,1.2593870013952255,0.6911313533782959,1.3490880727767944,0,0,0.10305469113410387,1,2.8915593418641947,-2.0197351276874542,,,,
abdomens_masked,matrix,False,0.1,8,0.19952623212978474,14.113803833723068,0.009911023080348969,1.644888997077942,3,6,-0.42194255664265157,6,2.343818385124905,-4.785466879606247,,,,
abdomens_masked,polar,False,0.1,8,0.10619664108680751,7.934316545724869,0.001235480303876102,1.554111123085022,0,6,-0.5152721476856288,7,2.9107785502274055,-7.35078501701355,,,,
abdomens_masked,matrix,True,0.001,8,0.7721201071112243,1.2032107412815094,0.75,1.3212511539459229,0,0,0.15065131833878795,0,2.420763179718051,-2.0153432935476303,,,,
abdomens_masked,polar,True,0.001,8,0.7720643540320655,1.2065026462078094,0.7500014901161194,1.33333158493042,0,0,0.15059556525962922,0,2.972144627274247,-2.0165617763996124,,,,
abdomens_masked,matrix,True,0.003,8,0.7729102658769367,1.2091267257928848,0.7499998211860657,1.3333334922790527,0,0,0.15144147710450034,0,2.4185887211351655,-2.017276391386986,,,,
abdomens_masked,polar,True,0.003,8,0.7729170203311916,1.2084252387285233,0.7500014305114746,1.33333158493042,0,0,0.1514482315587552,0,2.9931188715272583,-2.0171196162700653,,,,
abdomens_masked,matrix,True,0.01,8,0.7724496129837255,1.210418924689293,0.7499998211860657,1.3333334922790527,0,0,0.15098082421128922,0,2.420110505016055,-2.0183092951774597,,,,
abdomens_masked,polar,True,0.01,8,0.7735026346410072,1.2103278636932373,0.7500013709068298,1.3333313465118408,0,0,0.15203384586857088,0,3.016724928020267,-2.0187524557113647,,,,
abdomens_masked,matrix,True,0.03,8,0.771842233351877,1.2212729305028915,0.7500002384185791,1.3333333730697632,0,0,0.15037344457944063,0,2.421320641733473,-2.0177329182624817,,,,
abdomens_masked,polar,True,0.03,8,0.7627162639420282,1.2394132018089294,0.7500012516975403,1.3333312273025513,0,0,0.14124747516959185,1,3.080404343403643,-2.0153113156557083,,,,
